Link,Point Order,Sub Polygon Id,Usa2163 Id,Distance,Latitude,Longitude,New Latitude,New Longitude,Number of Records,Origin Latitude,Origin Longitude
link,3675,165,5,429.342851203,38.145,-76.6354,38.145,-76.6354,1,39,-84.51
link,3676,165,5,430.387989170,38.1504,-76.6146,38.1504,-76.6146,1,39,-84.51
link,3677,165,5,430.868995896,38.1435,-76.6072,38.1435,-76.6072,1,39,-84.51
link,3678,165,5,431.316158850,38.1325,-76.6014,38.1325,-76.6014,1,39,-84.51
link,3679,165,5,431.252442625,38.113,-76.6072,38.113,-76.6072,1,39,-84.51
link,3680,165,5,431.989176891,38.1051,-76.5953,38.1051,-76.5953,1,39,-84.51
link,3681,165,5,432.833472431,38.0976,-76.5813,38.0976,-76.5813,1,39,-84.51
link,3682,165,5,434.017181844,38.0895,-76.5611,38.0895,-76.5611,1,39,-84.51
link,3683,165,5,435.629412139,38.0752,-76.5344,38.0752,-76.5344,1,39,-84.51
link,3684,165,5,436.076923298,38.0643,-76.5287,38.0643,-76.5287,1,39,-84.51
link,3685,165,5,436.656359981,38.0528,-76.5207,38.0528,-76.5207,1,39,-84.51
link,3686,165,5,436.129227621,38.0427,-76.5331,38.0427,-76.5331,1,39,-84.51
link,3687,165,5,436.247019216,38.0387,-76.5319,38.0387,-76.5319,1,39,-84.51
link,3688,165,5,436.500340220,38.0251,-76.5306,38.0251,-76.5306,1,39,-84.51
link,3689,165,5,436.799824950,38.0227,-76.5256,38.0227,-76.5256,1,39,-84.51
link,3690,165,5,437.913637588,38.0236,-76.5045,38.0236,-76.5045,1,39,-84.51
link,3691,165,5,438.973473223,38.0218,-76.4851,38.0218,-76.4851,1,39,-84.51
link,3692,165,5,439.827516310,38.0163,-76.4705,38.0163,-76.4705,1,39,-84.51
